lon,lat,mag,time_string,depth,catalog_id,event_id
-116.4426667,33.4315,5.19,2016-06-10T08:04:38.700000,12.31,,ci37374687
-122.8018333,39.3293333,5.09,2016-08-10T02:57:17.510000,14.45,,nc72672610
-122.8413333,38.8221667,5.01,2016-12-14T16:41:05.530000,1.48,,nc72737985
-118.8989,38.3755,5.6,2016-12-28T08:18:00.613000,11.3,,nn00570709
-118.8972,38.3904,5.6,2016-12-28T08:22:12.208000,12.2,,nn00570710
-118.8957,38.3777,5.5,2016-12-28T09:13:47.243000,8.8,,nn00570744
-125.1806667,40.7821667,5.08,2017-07-29T00:02:40.910000,26.54,,nc72852151
-119.7258333,33.8375,5.29,2018-04-05T19:29:16.500000,9.87,,ci37908735
-124.3003333,40.2735,5.58,2019-06-23T03:53:02.890000,9.44,,nc73201181
-117.5038333,35.7053333,6.4,2019-07-04T17:33:49,10.5,,ci38443183
-117.575,35.7603333,5.37,2019-07-05T11:07:53.040000,6.95,,ci38450263
-117.5535,35.7253333,4.97,2019-07-06T03:16:32.480000,0.88,,ci38457487
-117.5993333,35.7695,7.1,2019-07-06T03:19:53.040000,8.0,,ci38457511
-117.7495,35.9011667,5.5,2019-07-06T03:47:53.420000,5.04,,ci38457687
-117.7001667,35.9035,4.97,2019-07-06T03:50:59.710000,8.26,,ci38457703
-117.6848333,35.9101667,5.44,2019-07-06T04:18:55.790000,7.41,,ci38457847
-125.0936667,40.3916667,5.77,2020-03-09T02:59:08.860000,3.19,,nc73351710
-124.4561667,40.3475,5.21,2020-03-18T22:08:20.920000,28.61,,nc73355700
-118.7333333,38.0525,5.24,2020-04-11T14:36:37.040000,8.45,,nc73367270
-117.8497,38.1689,6.5,2020-05-15T11:03:27.176000,2.7,,nn00725272
-117.8711,38.1811,5.1,2020-05-15T11:26:01.747000,6.8,,nn00725291
-117.7453,38.2012,5.0,2020-05-20T12:36:53.447000,11.7,,nn00729332
-117.7939,38.2309,5.1,2020-05-22T00:22:00.588000,7.2,,nn00730721
-117.4281667,35.6148333,5.51,2020-06-04T01:32:11.140000,8.44,,ci39462536
-117.9751667,36.4468333,5.8,2020-06-24T17:40:49.240000,4.66,,ci39493944
-117.9583,38.1539,5.0,2020-06-30T09:24:23.549000,8.3,,nn00755218
-117.8533,38.1693,5.3,2020-11-13T09:13:51.862000,4.8,,nn00782942
-118.0837,38.1637,5.1,2020-12-01T23:32:56.573000,5.0,,nn00787105
